kingdom,phylum,class,order,family,genus,species,common_name,notes
Plantae,Tracheophyta,Liliopsida,Asparagales,Amaryllidaceae,Galanthus,Galanthus nivalis,snowdrop,Starter seed for spring flower field testing.
Plantae,Tracheophyta,Liliopsida,Asparagales,Iridaceae,Crocus,Crocus vernus,spring crocus,
Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Convallaria,Convallaria majalis,lily of the valley,
Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Anemone,Anemone nemorosa,wood anemone,
Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Ficaria,Ficaria verna,lesser celandine,
Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Caltha,Caltha palustris,marsh marigold,
Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Hepatica,Hepatica nobilis,common hepatica,
Plantae,Tracheophyta,Magnoliopsida,Ericales,Primulaceae,Primula,Primula veris,cowslip,
Plantae,Tracheophyta,Magnoliopsida,Ericales,Primulaceae,Primula,Primula vulgaris,primrose,
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Tussilago,Tussilago farfara,coltsfoot,
